filename,r2,rmse,season,fractional_forest_cover,condition,region,checkpoint_name,month
LC09_20220601_FSC47_63.68447975164486_-128.4099745213702.tif,0.7370368543382895,0.223006933927536,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC47_63.79514790754633_-127.501369019781.tif,0.863043434778682,0.1641365736722946,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC48_62.67130741614106_-127.8869572250386.tif,0.9509536290338978,0.1043294519186019,late,0.319,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC48_62.829016613615394_-128.03495312361824.tif,0.9261722461183468,0.1298227161169052,late,0.1347,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC49_62.92017935917442_-128.09993820928338.tif,0.9515174425627008,0.1038828194141388,late,0.0955,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC4_61.97982285232705_-127.08457822645681.tif,0.7385659595603031,0.1005025655031204,late,0.4878,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC4_63.132598748631_-127.58480102572813.tif,0.9220539028438408,0.0526080429553985,late,0.0011,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC4_63.319726296119825_-127.27107259125627.tif,0.8086620374559947,0.0850190967321395,late,0.0371,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC54_62.4582197446923_-125.9158803470736.tif,0.940453455569109,0.1167485639452934,late,0.0056,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC56_62.58721438632247_-127.52991035275703.tif,0.9262619078934498,0.1199755668640136,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC56_62.60822843487759_-127.49402153440322.tif,0.8316648067951851,0.1916658878326416,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC56_62.69668645185557_-125.81253100374568.tif,0.9103782803664764,0.1299709975719452,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC56_63.045254570316835_-126.13047482180012.tif,0.8105317160448517,0.198515236377716,late,0.002,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC57_62.69596513211129_-127.75526765736208.tif,0.9539383166589642,0.0978932082653045,late,0.0258,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC57_63.04767641189977_-125.78762637758165.tif,0.9175165507698922,0.1315401643514633,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC57_63.57644920736047_-128.67581615820225.tif,0.990082208680234,0.0471434742212295,late,0.1921,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC59_62.260782980466075_-128.5738262119627.tif,0.9152080092876376,0.1358536183834076,late,0.2221,clear_1y17j4tq_with,rockies,seasons,06
