cell_id,center_x,center_y,action
450,550863.8459204244,5658083.788334359,KEEP
451,660863.8459204244,5757083.788334359,KEEP
452,638863.8459204244,5625083.788334359,KEEP
453,622863.8459204244,5746083.788334359,KEEP
454,668863.8459204244,5701083.788334359,KEEP
455,544863.8459204244,5635083.788334359,KEEP
456,676863.8459204244,5727083.788334359,DROP
457,686863.8459204244,5603083.788334359,DROP
458,683863.8459204244,5640083.788334359,DROP
459,589863.8459204244,5663083.788334359,KEEP
460,695863.8459204244,5624083.788334359,DROP
461,553863.8459204244,5630083.788334359,KEEP
462,633863.8459204244,5645083.788334359,KEEP
463,610863.8459204244,5684083.788334359,KEEP
464,531863.8459204244,5690083.788334359,KEEP
465,616863.8459204244,5691083.788334359,KEEP
466,694863.8459204244,5725083.788334359,DROP
467,537863.8459204244,5722083.788334359,KEEP
468,540863.8459204244,5710083.788334359,KEEP
469,690863.8459204244,5630083.788334359,DROP
470,609863.8459204244,5655083.788334359,KEEP
471,567863.8459204244,5660083.788334359,KEEP
472,538863.8459204244,5601083.788334359,DROP
473,638863.8459204244,5737083.788334359,KEEP
474,646863.8459204244,5724083.788334359,KEEP
475,589863.8459204244,5733083.788334359,KEEP
476,609863.8459204244,5650083.788334359,KEEP
477,552863.8459204244,5743083.788334359,KEEP
478,672863.8459204244,5670083.788334359,KEEP
479,545863.8459204244,5722083.788334359,KEEP
480,572863.8459204244,5715083.788334359,KEEP
481,683863.8459204244,5636083.788334359,DROP
482,551863.8459204244,5645083.788334359,KEEP
483,680863.8459204244,5663083.788334359,DROP
484,624863.8459204244,5631083.788334359,KEEP
485,691863.8459204244,5682083.788334359,DROP
486,550863.8459204244,5613083.788334359,DROP
487,650863.8459204244,5602083.788334359,DROP
488,621863.8459204244,5678083.788334359,KEEP
489,657863.8459204244,5666083.788334359,KEEP
490,610863.8459204244,5754083.788334359,KEEP
491,533863.8459204244,5730083.788334359,KEEP
492,556863.8459204244,5625083.788334359,KEEP
493,620863.8459204244,5638083.788334359,KEEP
494,583863.8459204244,5684083.788334359,KEEP
495,570863.8459204244,5696083.788334359,KEEP
496,632863.8459204244,5658083.788334359,KEEP
497,603863.8459204244,5609083.788334359,DROP
498,669863.8459204244,5685083.788334359,KEEP
499,648863.8459204244,5632083.788334359,KEEP
