cell_id,center_x,center_y,action
335,611863.8459204244,5714083.788334359,KEEP
336,576863.8459204244,5710083.788334359,KEEP
337,666863.8459204244,5712083.788334359,KEEP
338,565863.8459204244,5707083.788334359,KEEP
339,526863.8459204244,5754083.788334359,DROP
340,674863.8459204244,5744083.788334359,DROP
341,641863.8459204244,5683083.788334359,KEEP
342,627863.8459204244,5655083.788334359,KEEP
343,538863.8459204244,5706083.788334359,KEEP
344,586863.8459204244,5637083.788334359,KEEP
345,629863.8459204244,5621083.788334359,DROP
346,533863.8459204244,5611083.788334359,DROP
347,530863.8459204244,5688083.788334359,KEEP
348,634863.8459204244,5753083.788334359,KEEP
349,593863.8459204244,5721083.788334359,KEEP
350,535863.8459204244,5736083.788334359,KEEP
351,597863.8459204244,5682083.788334359,KEEP
352,557863.8459204244,5645083.788334359,KEEP
353,691863.8459204244,5618083.788334359,DROP
354,549863.8459204244,5637083.788334359,KEEP
355,579863.8459204244,5671083.788334359,KEEP
356,610863.8459204244,5688083.788334359,KEEP
357,580863.8459204244,5752083.788334359,KEEP
358,604863.8459204244,5667083.788334359,KEEP
359,540863.8459204244,5745083.788334359,KEEP
360,674863.8459204244,5687083.788334359,DROP
361,692863.8459204244,5682083.788334359,DROP
362,528863.8459204244,5708083.788334359,DROP
363,654863.8459204244,5724083.788334359,KEEP
364,600863.8459204244,5646083.788334359,KEEP
365,630863.8459204244,5720083.788334359,KEEP
366,535863.8459204244,5714083.788334359,KEEP
367,645863.8459204244,5625083.788334359,KEEP
368,526863.8459204244,5698083.788334359,DROP
369,551863.8459204244,5621083.788334359,KEEP
370,524863.8459204244,5617083.788334359,DROP
371,573863.8459204244,5637083.788334359,KEEP
372,683863.8459204244,5680083.788334359,DROP
373,634863.8459204244,5747083.788334359,KEEP
374,605863.8459204244,5646083.788334359,KEEP
375,609863.8459204244,5740083.788334359,KEEP
376,632863.8459204244,5673083.788334359,KEEP
377,691863.8459204244,5695083.788334359,DROP
378,561863.8459204244,5736083.788334359,KEEP
379,570863.8459204244,5758083.788334359,KEEP
380,540863.8459204244,5655083.788334359,KEEP
381,634863.8459204244,5661083.788334359,KEEP
382,626863.8459204244,5631083.788334359,KEEP
383,654863.8459204244,5676083.788334359,KEEP
384,622863.8459204244,5667083.788334359,KEEP
385,624863.8459204244,5744083.788334359,KEEP
386,696863.8459204244,5610083.788334359,DROP
387,675863.8459204244,5694083.788334359,DROP
388,690863.8459204244,5755083.788334359,DROP
389,661863.8459204244,5627083.788334359,KEEP
390,672863.8459204244,5630083.788334359,KEEP
391,580863.8459204244,5741083.788334359,KEEP
392,623863.8459204244,5756083.788334359,KEEP
393,579863.8459204244,5669083.788334359,KEEP
394,559863.8459204244,5601083.788334359,DROP
395,550863.8459204244,5643083.788334359,KEEP
396,661863.8459204244,5678083.788334359,KEEP
397,536863.8459204244,5694083.788334359,KEEP
398,628863.8459204244,5616083.788334359,DROP
399,699863.8459204244,5739083.788334359,DROP
400,696863.8459204244,5609083.788334359,DROP
401,561863.8459204244,5607083.788334359,DROP
402,598863.8459204244,5655083.788334359,KEEP
403,538863.8459204244,5703083.788334359,KEEP
404,572863.8459204244,5622083.788334359,KEEP
405,523863.8459204245,5612083.788334359,DROP
406,667863.8459204244,5642083.788334359,KEEP
407,579863.8459204244,5608083.788334359,DROP
408,666863.8459204244,5694083.788334359,KEEP
409,591863.8459204244,5614083.788334359,DROP
410,667863.8459204244,5696083.788334359,KEEP
411,670863.8459204244,5633083.788334359,KEEP
412,545863.8459204244,5600083.788334359,DROP
413,562863.8459204244,5635083.788334359,KEEP
414,535863.8459204244,5744083.788334359,KEEP
415,696863.8459204244,5612083.788334359,DROP
416,543863.8459204244,5735083.788334359,KEEP
417,609863.8459204244,5609083.788334359,DROP
418,613863.8459204244,5658083.788334359,KEEP
419,702863.8459204244,5671083.788334359,DROP
420,649863.8459204244,5639083.788334359,KEEP
421,593863.8459204244,5642083.788334359,KEEP
422,589863.8459204244,5628083.788334359,KEEP
423,604863.8459204244,5625083.788334359,KEEP
424,625863.8459204244,5629083.788334359,KEEP
425,583863.8459204244,5722083.788334359,KEEP
426,601863.8459204244,5619083.788334359,DROP
427,686863.8459204244,5693083.788334359,DROP
428,652863.8459204244,5734083.788334359,KEEP
429,610863.8459204244,5645083.788334359,KEEP
430,553863.8459204244,5704083.788334359,KEEP
431,524863.8459204244,5725083.788334359,DROP
432,638863.8459204244,5688083.788334359,KEEP
433,640863.8459204244,5605083.788334359,DROP
434,564863.8459204244,5721083.788334359,KEEP
435,641863.8459204244,5681083.788334359,KEEP
436,702863.8459204244,5629083.788334359,DROP
437,632863.8459204244,5687083.788334359,KEEP
438,625863.8459204244,5687083.788334359,KEEP
439,662863.8459204244,5630083.788334359,KEEP
440,699863.8459204244,5714083.788334359,DROP
441,580863.8459204244,5693083.788334359,KEEP
442,699863.8459204244,5758083.788334359,DROP
443,542863.8459204244,5697083.788334359,KEEP
444,639863.8459204244,5744083.788334359,KEEP
445,671863.8459204244,5711083.788334359,DROP
446,627863.8459204244,5690083.788334359,KEEP
447,559863.8459204244,5611083.788334359,DROP
448,549863.8459204244,5616083.788334359,DROP
449,570863.8459204244,5661083.788334359,KEEP
